Report Date,Country,Indicator,Value
2000-01-01,AFG,WHOSIS_000001,53.24999
2001-01-01,AFG,WHOSIS_000001,53.91019
2002-01-01,AFG,WHOSIS_000001,54.92199
2003-01-01,AFG,WHOSIS_000001,56.24284
2004-01-01,AFG,WHOSIS_000001,56.32997
2005-01-01,AFG,WHOSIS_000001,57.01443
2006-01-01,AFG,WHOSIS_000001,56.58926
2007-01-01,AFG,WHOSIS_000001,57.83808
2008-01-01,AFG,WHOSIS_000001,57.51223
2009-01-01,AFG,WHOSIS_000001,59.02032
2010-01-01,AFG,WHOSIS_000001,58.57067
2011-01-01,AFG,WHOSIS_000001,59.12295
2012-01-01,AFG,WHOSIS_000001,59.42177
2013-01-01,AFG,WHOSIS_000001,59.95228
2014-01-01,AFG,WHOSIS_000001,59.66268
2015-01-01,AFG,WHOSIS_000001,61.4936
2016-01-01,AFG,WHOSIS_000001,61.72904
2017-01-01,AFG,WHOSIS_000001,59.83439
2018-01-01,AFG,WHOSIS_000001,62.13596
2019-01-01,AFG,WHOSIS_000001,61.22381
2020-01-01,AFG,WHOSIS_000001,59.33504
2021-01-01,AFG,WHOSIS_000001,60.98604
2000-01-01,AGO,WHOSIS_000001,51.85895
2001-01-01,AGO,WHOSIS_000001,47.67809
2002-01-01,AGO,WHOSIS_000001,53.06868
2003-01-01,AGO,WHOSIS_000001,51.74053
2004-01-01,AGO,WHOSIS_000001,50.49819
2005-01-01,AGO,WHOSIS_000001,55.16791
2006-01-01,AGO,WHOSIS_000001,54.27927
2007-01-01,AGO,WHOSIS_000001,57.42139
2008-01-01,AGO,WHOSIS_000001,58.23963
2009-01-01,AGO,WHOSIS_000001,59.14858
2010-01-01,AGO,WHOSIS_000001,57.96461
2011-01-01,AGO,WHOSIS_000001,60.90794
2012-01-01,AGO,WHOSIS_000001,57.21165
2013-01-01,AGO,WHOSIS_000001,62.60657
2014-01-01,AGO,WHOSIS_000001,58.64003
2015-01-01,AGO,WHOSIS_000001,64.12377
2016-01-01,AGO,WHOSIS_000001,59.48619
2017-01-01,AGO,WHOSIS_000001,62.03683
2018-01-01,AGO,WHOSIS_000001,64.4524
2019-01-01,AGO,WHOSIS_000001,64.65225
2020-01-01,AGO,WHOSIS_000001,64.93312
2021-01-01,AGO,WHOSIS_000001,64.25584
2000-01-01,ALB,WHOSIS_000001,73.68286
2001-01-01,ALB,WHOSIS_000001,79.24666
2002-01-01,ALB,WHOSIS_000001,75.48886
2003-01-01,ALB,WHOSIS_000001,72.36147
2004-01-01,ALB,WHOSIS_000001,72.85165
2005-01-01,ALB,WHOSIS_000001,74.20683
2006-01-01,ALB,WHOSIS_000001,74.22366
2007-01-01,ALB,WHOSIS_000001,74.53679
2008-01-01,ALB,WHOSIS_000001,74.98832
2009-01-01,ALB,WHOSIS_000001,77.98189
2010-01-01,ALB,WHOSIS_000001,78.34098
2011-01-01,ALB,WHOSIS_000001,75.1086
2012-01-01,ALB,WHOSIS_000001,75.29859
2013-01-01,ALB,WHOSIS_000001,77.77411
2014-01-01,ALB,WHOSIS_000001,78.01445
2015-01-01,ALB,WHOSIS_000001,76.02286
2016-01-01,ALB,WHOSIS_000001,77.87871
2017-01-01,ALB,WHOSIS_000001,76.1028
2018-01-01,ALB,WHOSIS_000001,77.93852
2019-01-01,ALB,WHOSIS_000001,79.87257
2020-01-01,ALB,WHOSIS_000001,74.25913
2021-01-01,ALB,WHOSIS_000001,74.36082
2000-01-01,ARE,WHOSIS_000001,78.11838
2001-01-01,ARE,WHOSIS_000001,78.18237
2002-01-01,ARE,WHOSIS_000001,78.35124
2003-01-01,ARE,WHOSIS_000001,78.49638
2004-01-01,ARE,WHOSIS_000001,78.89396
2005-01-01,ARE,WHOSIS_000001,79.51769
2006-01-01,ARE,WHOSIS_000001,80.46241
2007-01-01,ARE,WHOSIS_000001,80.44971
2008-01-01,ARE,WHOSIS_000001,80.5721
2009-01-01,ARE,WHOSIS_000001,80.50827
2010-01-01,ARE,WHOSIS_000001,81.18726
2011-01-01,ARE,WHOSIS_000001,80.25767
2012-01-01,ARE,WHOSIS_000001,80.98915
2013-01-01,ARE,WHOSIS_000001,80.31965
2014-01-01,ARE,WHOSIS_000001,80.64754
2015-01-01,ARE,WHOSIS_000001,80.37905
2016-01-01,ARE,WHOSIS_000001,81.62649
2017-01-01,ARE,WHOSIS_000001,80.92702
